
Player,Pos,Squad,90s,Crs,Int,TklW,-9999
Matt O'Riley,MF,Brighton,2.3,6,0,2,fb495bb8
Wilson Odobert,MFFW,Tottenham,10.9,28,0,8,35516eac
Noah Okafor,FWMF,Leeds United,17.3,36,12,15,ca607d59
Callum Olusesi,MF,Tottenham,0.2,0,0,0,d6455444
Amadou Onana,MF,Aston Villa,19.5,0,19,30,828657ff
Frank Onyeka,MF,Brentford,1.0,0,0,0,2944f86f
Nehemiah Oriola,MF,Brighton,0.0,0,0,0,febb2831
Stefan Ortega,GK,Nottingham,3.0,0,0,0,c1242d4e
William Osula,FW,Newcastle,9.1,3,1,5,7b355808
Dango Ouattara,MF,Brentford,25.3,107,24,14,2f9e4435
Pablo,MFFW,West Ham,9.1,5,5,14,866ba412
João Palhinha,MF,Tottenham,24.4,4,28,61,a78ff07f
Cole Palmer,MF,Chelsea,21.7,35,13,12,dc7f8a28
Lucas Paquetá,MFFW,West Ham,16.8,36,7,22,9b6f7fd5
Nathan Patterson,DF,Everton,2.7,6,2,4,230f0471
Myles Peart-Harris,MF,Brentford,0.0,0,0,0,ea1a5662
Lucas Perri,GK,Leeds United,16.0,0,0,0,5dbd461a
Đorđe Petrović,GK,Bournemouth,38.0,0,0,0,0cf321c8
Jordan Pickford,GK,Everton,38.0,0,0,1,4806ec67
Ethan Pinnock,DF,Brentford,3.5,0,5,5,e541326e
Yéremy Pino,MFFW,Crystal Palace,23.1,79,8,20,540ec57b
Joël Piroe,FW,Leeds United,2.9,4,1,1,1f0072a6
Nick Pope,GK,Newcastle,26.8,0,0,1,4b40d9ca
Pedro Porro,DF,Tottenham,31.1,232,31,50,27d0a506
Freddie Potts,MF,West Ham,13.0,34,16,18,86bf27f0
Aaron Ramsdale,GK,Newcastle,11.2,0,0,0,466fb2c5
Jacob Ramsey,MF,Newcastle,16.1,8,9,21,1544f145
David Raya,GK,Arsenal,37.0,1,1,1,98ea5115
Rayan,MF,Bournemouth,12.3,24,8,6,288647fc
Harrison Reed,MF,Fulham,1.0,4,0,0,803ae100
Tijjani Reijnders,MF,Manchester City,18.1,43,11,4,afb61630
Chadi Riad,DF,Crystal Palace,6.1,6,4,5,b3b9b8b8
Declan Rice,MF,Arsenal,34.4,177,33,33,1c7012b8
Chris Richards,DF,Crystal Palace,31.4,14,43,35,0a3d6d2b
Richarlison,FWMF,Tottenham,21.8,18,7,16,fa031b34
Chris Rigg,MF,Sunderland,8.5,11,4,8,35741fe2
Patrick Roberts,FWMF,Sunderland,0.3,0,0,0,59d93937
Andy Robertson,DF,Liverpool,13.1,53,7,10,2e4f5f03
Antonee Robinson,DFMF,Fulham,16.6,77,28,31,289601e6
Kaden Rodney,DFMF,Crystal Palace,0.0,0,0,0,49375cdd
Joe Rodon,DF,Leeds United,32.8,6,30,19,8d62d31a
Rodri,MF,Manchester City,16.8,5,12,25,6434f10d
Guido Rodríguez,MF,West Ham,2.0,2,2,0,34e393f2
Robin Roefs,GK,Sunderland,35.0,0,0,0,349fa918
Morgan Rogers,MF,Aston Villa,36.4,51,13,23,2e5915f1
Merlin Röhl,MF,Everton,7.6,5,4,13,1f2c7b55
Cristian Romero,DF,Tottenham,20.8,1,31,30,a3d94a58
James Rowswell,DF,Tottenham,0.0,0,0,0,419147f7
Georginio Rutter,MFFW,Brighton,19.8,20,11,19,c64c01fc
José Sá,GK,Wolves,23.0,0,0,0,903b6e8b
Noah Sadiki,MF,Sunderland,32.1,21,33,26,645481cc
Bukayo Saka,FWMF,Arsenal,24.7,122,16,19,bc7dc64d
Mohamed Salah,MF,Liverpool,23.8,117,3,12,e342ad68
William Saliba,DF,Arsenal,29.0,9,15,23,972aeb2a
Robert Sánchez,GK,Chelsea,33.8,0,1,0,6a713852
Jadon Sancho,MF,Aston Villa,9.7,23,2,2,dbf053da
Ibrahim Sangaré,MF,Nottingham,23.1,8,22,32,bced0375
Andrey Santos,MF,Chelsea,14.0,2,18,21,dd745366
Ismaila Sarr,MF,Crystal Palace,24.2,24,7,9,bfdb33aa
Mamadou Sarr,DF,Chelsea,1.1,0,1,0,61f80c89
Sávio,MF,Manchester City,9.3,40,5,5,fe6e7156
Nicolò Savona,DF,Nottingham,11.4,27,5,12,e041497d
Oliver Scarles,DFMF,West Ham,7.3,35,13,19,242e5e6d
Dane Scarlett,FW,Tottenham,0.1,0,0,0,21945a9e
Kevin Schade,MFFW,Brentford,30.5,23,19,27,52afb588
Fabian Schär,DF,Newcastle,12.1,4,16,9,c8aa95da
Alex Scott,MF,Bournemouth,31.7,88,35,38,104d0bb8
Jenson Seelt,DF,Sunderland,1.5,1,0,0,ec75ee25
Matz Sels,GK,Nottingham,29.6,0,0,1,834b5c4c
Antoine Semenyo,MFFW,Manchester City,15.5,21,6,11,efd2ec23
Antoine Semenyo,MF,Bournemouth,20.0,28,6,20,efd2ec23
Marcos Senesi,DF,Bournemouth,36.5,28,50,34,35141f4c
Benjamin Šeško,FW,Manchester Utd,18.3,2,3,3,3260690c
Ryan Sessegnon,DFMF,Fulham,20.3,55,23,29,6aa3e78b
Luke Shaw,DF,Manchester Utd,35.8,54,43,45,9c94165b
Bernardo Silva,MF,Manchester City,31.9,72,21,28,3eb22ec9
Jota Silva,FW,Nottingham,0.1,1,0,1,4d77e622
Xavi Simons,MFFW,Tottenham,19.5,51,15,20,da4d670f
Adam Smith,DF,Bournemouth,12.0,13,10,12,20b104bc
Emile Smith Rowe,MF,Fulham,21.4,13,22,22,17695062
Dominic Solanke,FW,Tottenham,11.1,2,3,16,e77dc3b2
Julio Soler,DF,Bournemouth,0.4,2,0,0,98c8559a
Oliver Sonne,DF,Burnley,1.9,5,1,1,b66b8d5e
Borna Sosa,DFMF,Crystal Palace,1.1,6,2,0,af0d79a9
Tomáš Souček,MF,West Ham,24.4,14,16,23,6613c819
Souza,MF,Tottenham,1.6,3,2,0,10b0c6f4
Djed Spence,DFMF,Tottenham,22.8,49,15,25,9bc9a519
Anton Stach,MF,Leeds United,26.3,155,19,35,0f59a7bf
John Stones,DF,Manchester City,4.9,4,3,1,5eecec3d
Jørgen Strand Larsen,FW,Wolves,15.6,3,3,2,f553b2b3
Jørgen Strand Larsen,FW,Crystal Palace,10.0,0,1,0,f553b2b3
Pascal Struijk,DF,Leeds United,32.6,2,32,22,f4d296e4
Crysencio Summerville,MFFW,West Ham,27.4,59,15,26,df04eb4b
Dominik Szoboszlai,MFDF,Liverpool,35.9,206,29,32,934e1968
Jocelin Ta Bi,MF,Sunderland,0.4,5,0,0,1f019509
Chemsdine Talbi,MFFW,Sunderland,17.3,50,3,6,47ce793b
Ao Tanaka,MF,Leeds United,14.6,39,21,15,1d36d6b6
James Tarkowski,DF,Everton,37.0,7,29,30,15ea812b
Marcus Tavernier,MF,Bournemouth,30.3,114,16,21,5c0da4a4
Loum Tchaouna,MFFW,Burnley,14.1,34,2,9,a3c8b4d3
Jackson Tchatchoua,MFDF,Wolves,20.5,90,14,15,aeca7743
Mathys Tel,MFFW,Tottenham,15.0,92,5,12,829aa60c
Kenny Tete,DF,Fulham,19.9,34,26,38,77d7c96f
Igor Thiago,FW,Brentford,36.5,19,12,21,dc45ac24
Malick Thiaw,DF,Newcastle,32.9,9,30,34,ff5ea0bf
Youri Tielemans,MF,Aston Villa,20.7,45,16,39,56f7a928
Jurriën Timber,DF,Arsenal,27.3,46,24,35,41034650
Jean-Clair Todibo,DF,West Ham,20.2,2,16,24,88f130ed
Sandro Tonali,MF,Newcastle,28.2,95,28,25,0db169ae
Pau Torres,DF,Aston Villa,18.6,4,11,14,532e1e4f
Alex Tóth,MF,Bournemouth,1.6,3,3,0,5e18c6f4
James Trafford,GK,Manchester City,4.0,0,0,1,259fea27
Adama Traoré,MF,Fulham,3.0,15,0,1,9a28eba4
Adama Traoré,FWMF,West Ham,1.3,12,0,1,9a28eba4
Bertrand Traoré,MFFW,Sunderland,7.0,13,2,4,c47541e0
Mike Trésor,FWMF,Burnley,0.5,3,0,1,b2a81fc6
Kieran Trippier,DF,Newcastle,17.6,96,7,13,21512407
Leandro Trossard,FWMF,Arsenal,22.2,58,9,15,38ceb24a
Adrien Truffert,DF,Bournemouth,37.5,142,43,51,5d0e0a1f
Axel Tuanzebe,DF,Burnley,13.3,1,12,8,2baec6ce
Stefanos Tzimas,FW,Brighton,1.5,1,0,1,a497130f
Christantus Uche,FW,Crystal Palace,1.9,6,0,1,87941696
Destiny Udogie,DFMF,Tottenham,14.9,27,7,20,7cd520e8
Manuel Ugarte,MF,Manchester Utd,9.9,1,20,30,c9817014
Lesley Ugochukwu,MF,Burnley,26.0,7,17,26,1df4a109
Enes Ünal,FW,Bournemouth,2.6,2,0,1,f8eca1b6
Hákon Valdimarsson,GK,Brentford,1.0,0,0,0,57a34cf4
Virgil van Dijk,DF,Liverpool,38.0,1,26,15,e06683ca
Joël Veltman,DF,Brighton,11.8,18,19,17,dad4b285
Micky van de Ven,DF,Tottenham,33.8,3,21,20,8fe2a392
Bart Verbruggen,GK,Brighton,38.0,0,0,1,cf134113
Guglielmo Vicario,GK,Tottenham,31.0,0,0,1,77d6fd4d
Kyle Walker,DFMF,Burnley,34.4,37,43,32,86dd77d1
Kyle Walker-Peters,DF,West Ham,15.4,20,9,30,984a5a64
Aaron Wan-Bissaka,DFMF,West Ham,23.1,43,41,24,9e525177
James Ward-Prowse,MF,West Ham,4.6,22,6,2,3515d404
James Ward-Prowse,MF,Burnley,7.6,52,15,4,3515d404
Ollie Watkins,FW,Aston Villa,31.5,7,5,14,aed3a70f
Tom Watson,MF,Brighton,0.7,0,0,1,9886c32e
Max Weiß,GK,Burnley,3.0,0,0,0,882228c2
Danny Welbeck,FW,Brighton,25.1,3,8,14,ce5143da
Adam Wharton,MF,Crystal Palace,28.4,86,27,36,4b542852
Ben White,DF,Arsenal,7.8,16,9,9,35e413f1
Mats Wieffer,DF,Brighton,21.1,17,24,43,4876c9ab
Neco Williams,DF,Nottingham,35.6,143,46,61,dd323728
Estêvão Willian,MF,Chelsea,9.4,16,4,6,2eda11b1
Joe Willock,MF,Newcastle,10.9,16,7,15,a3b03921
Callum Wilson,FW,West Ham,13.9,5,3,2,c596fcb0
Harry Wilson,MF,Fulham,29.7,115,16,19,c6dc9ecd
Ben Winterburn,MF,Bournemouth,0.1,0,0,0,ba31eee2
Florian Wirtz,MF,Liverpool,26.4,32,12,26,e7fcf289
Yoane Wissa,FW,Newcastle,5.9,1,0,5,2500cef9
Nick Woltemade,FWMF,Newcastle,21.1,3,5,13,7ca196eb
Chris Wood,FW,Nottingham,10.0,1,1,1,4e9a0555
Freddie Woodman,GK,Liverpool,2.4,0,0,0,19e50035
Joe Worrall,DF,Burnley,5.6,0,6,2,a5212312
Granit Xhaka,MF,Sunderland,32.3,99,29,33,e61b8aee
Yehor Yarmoliuk,MF,Brentford,29.5,30,28,46,907a5d7c
Ryan Yates,MF,Nottingham,6.9,5,9,10,c1fe2a48
Leny Yoro,DF,Manchester Utd,19.3,3,31,20,6763f716
Oleksandr Zinchenko,DF,Nottingham,3.9,18,2,6,51cf8561
Joshua Zirkzee,FWMF,Manchester Utd,7.0,5,1,6,028e70b9
Martín Zubimendi,MF,Arsenal,33.2,13,39,39,3ee0dd59
Martin Ødegaard,MF,Arsenal,15.2,22,7,9,79300479

